num,text,title
47,"'Nhŏng năm tơ như , ĭnh năm tĭa",Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
48,'Nhŏng năm tơ như ?,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
49,"'Nhŏng năm tơ như, inh năm trŭh toĕi",Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
50,"'Nhŏng năm xơ manh, oeĭ hnam ?",Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
51,"'Nhŏng năm, ĭnh năm ?",Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
52,"'Nhŏng oĕi hnam, hăm vă năm ngôi",Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
53,'Nhŏng pơ deĭ bơĭ,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
54,'Nhŏng trŭh kơ xâ abi,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
55,'Nhŏng xa ngŏh đim ?,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
56,'Nhŏng ăn ĭnh sâp hla Săch,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
57,'Nhŭng 'bĭch lâm kơdron,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
58,'Nhŭng 'mŭt ( bek ),Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
59,'Nâu hnam ĭnh,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
60,'Nâu lăh hnam ĭnh,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
61,'Nâu tơ nâu ruông 'ba,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
62,'Năr adrâu jŏh tơrŭh tết,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
63,'Năr adrơu thữ yưng? (thữ,Bình Định\Từ điển Kriem\Câu.xlsx
64,'Năr dơning 'nhŏng 'neĭ trŭh,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
65,'Năr ning ĭnh pơm xong tơdrong ‘neĭ,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
66,'Năr tơ muônh kămhơ trŭh,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
67,'bal 'nu 'nhồng oh pre,Bình Định\Từ điển Kriem\Câu.xlsx
68,'bal 'nu yă 'bok,Bình Định\Từ điển Kriem\Câu.xlsx
69,"'bal hlak đak, 'bal tồ kông...",Bình Định\Từ điển Kriem\Câu.xlsx
70,'bal to dơnol,Bình Định\Từ điển Kriem\Câu.xlsx
71,'ban đe hơ 'yŏh hnam trương,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
72,'bar sâp hla pơar 'nâu dĭ mai,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
73,'bar tŏ ban,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
74,'bar tŏ kơpô,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
75,'bhŭng beh,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
76,'gôm ơ̆i,Bình Định\Văn bản phát thanh\KT-XH\KT-XH bai 38.xlsx
77,'long hơ'bo 'đuôĭ,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
78,'long hơ'bo kơ jung,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
79,'măng cham xă,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
80,'nhŏng 'noh prăh đĕi mĭnh tŏ xem,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
81,'nhŏng 'nŏh năm,"Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx, Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx"
82,'nhŏng bơ dĕĭ bĕ,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
83,'nhŏng chă yư̆ng,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
84,'nhŏng hăn vă năm ngôi,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
85,'nhŏng hơ,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
86,'nhŏng năm,"Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx, Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx"
87,'nhŏng năm lơ như,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
88,'nhŏng năm mă lâng hŏ,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
89,'nhŏng năm tơ như,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
90,'nhŏng pĭnh bu ?,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
91,'nhŏng tam xa,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
92,'nhŏng trŭh kơ xơ̆ abri,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
93,'nhũ,Bình Định\Từ điển Kriem\Câu.xlsx
94,'nhỗng,Bình Định\Từ điển Kriem\Câu.xlsx
95,"'nâu, 'bă ĭnh",Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
96,"'nâu, mĭ ĭnh",Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
